GAME_ID,GAME_DATE,SEASON,HOME_TEAM_ID,HOME_TEAM_NAME,HOME_PTS,HOME_WL,AWAY_TEAM_ID,AWAY_TEAM_NAME,AWAY_PTS,AWAY_WL,HOME_TEAM_WINS,home_last10_win_pct,away_last10_win_pct,last10_win_pct_diff,home_last10_opponent_avg_win_pct,away_last10_opponent_avg_win_pct,last10_opponent_avg_win_pct_diff,home_last10_adjusted,away_last10_adjusted,last10_adjusted_diff,home_last10_home_win_pct,away_last10_away_win_pct,home_away_form_diff
12200033,2022-10-07,2022-23,1610612763,Memphis Grizzlies,108,L,1610612748,Miami Heat,111,W,0,1.0,0.5,0.5,0.5,0.25,0.25,1.0,0.25,0.75,1.0,1.0,0.0
12200034,2022-10-07,2022-23,1610612740,New Orleans Pelicans,107,W,1610612765,Detroit Pistons,101,L,1,1.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.0,0.5
12200035,2022-10-07,2022-23,1610612742,Dallas Mavericks,105,L,1610612753,Orlando Magic,110,W,0,1.0,0.5,0.5,1.0,0.5,0.5,1.5,0.5,1.0,0.5,0.5,0.0
12200036,2022-10-08,2022-23,1610612749,Milwaukee Bucks,109,L,1610612737,Atlanta Hawks,118,W,0,0.0,1.0,-1.0,0.5,0.0,0.5,0.0,0.5,-0.5,0.0,0.5,-0.5
12200037,2022-10-09,2022-23,1610612761,Toronto Raptors,98,L,1610612741,Chicago Bulls,115,W,0,0.6666666666666666,0.5,0.16666666666666663,0.8333333333333334,0.25,0.5833333333333334,1.0,0.25,0.75,1.0,0.5,0.5
12200039,2022-10-09,2022-23,1610612759,San Antonio Spurs,97,L,1610612740,New Orleans Pelicans,111,W,0,0.0,1.0,-1.0,0.25,0.25,0.0,-0.25,0.75,-1.0,0.0,1.0,-1.0
12200040,2022-10-09,2022-23,1610612744,Golden State Warriors,121,L,1610612747,Los Angeles Lakers,124,W,0,1.0,0.0,1.0,0.25,0.6666666666666666,-0.41666666666666663,0.75,0.16666666666666663,0.5833333333333334,1.0,0.5,0.5
12200041,2022-10-09,2022-23,1610612758,Sacramento Kings,126,W,1610612757,Portland Trail Blazers,94,L,1,1.0,0.0,1.0,0.5,0.25,0.25,1.0,-0.25,1.25,0.5,0.0,0.5
12200042,2022-10-09,2022-23,1610612746,LA Clippers,117,L,1610612750,Minnesota Timberwolves,119,W,0,1.0,1.0,0.0,0.5,0.25,0.25,1.0,0.75,0.25,1.0,1.0,0.0
12200043,2022-10-10,2022-23,1610612766,Charlotte Hornets,107,L,1610612764,Washington Wizards,116,W,0,0.0,0.0,0.0,0.5,0.75,-0.25,0.0,0.25,-0.25,0.0,0.0,0.0
12200044,2022-10-10,2022-23,1610612739,Cleveland Cavaliers,97,L,1610612755,Philadelphia 76ers,113,W,0,0.0,1.0,-1.0,1.0,0.5,0.5,0.5,1.0,-0.5,0.5,1.0,-0.5
12200045,2022-10-10,2022-23,1610612748,Miami Heat,118,W,1610612745,Houston Rockets,110,L,1,0.6666666666666666,1.0,-0.33333333333333337,0.5,0.75,-0.25,0.6666666666666666,1.25,-0.5833333333333334,0.0,0.5,-0.5
12200046,2022-10-10,2022-23,1610612743,Denver Nuggets,107,W,1610612756,Phoenix Suns,105,L,1,0.0,1.0,-1.0,0.25,0.0,0.25,-0.25,0.5,-0.75,0.0,1.0,-1.0
12200047,2022-10-11,2022-23,1610612765,Detroit Pistons,99,L,1610612760,Oklahoma City Thunder,115,W,0,0.0,0.5,-0.5,0.75,0.5,0.25,0.25,0.5,-0.25,0.5,1.0,-0.5
12200048,2022-10-11,2022-23,1610612753,Orlando Magic,109,W,1610612763,Memphis Grizzlies,105,L,1,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.5,0.16666666666666663,0.8333333333333333,0.6666666666666666,0.16666666666666663,0.5,1.0,-0.5
