GAME_ID,GAME_DATE,SEASON,HOME_TEAM_ID,HOME_TEAM_NAME,HOME_PTS,HOME_WL,HOME_FGM,HOME_FGA,HOME_FG3M,HOME_FG3A,HOME_OREB,HOME_DREB,HOME_FTM,HOME_FTA,HOME_REB,HOME_AST,HOME_TOV,HOME_PLUS_MINUS,AWAY_TEAM_ID,AWAY_TEAM_NAME,AWAY_PTS,AWAY_WL,AWAY_FGM,AWAY_FGA,AWAY_FG3M,AWAY_FG3A,AWAY_OREB,AWAY_DREB,AWAY_FTM,AWAY_FTA,AWAY_REB,AWAY_AST,AWAY_TOV,AWAY_PLUS_MINUS,HOME_TEAM_WINS,home_last10_win_pct,away_last10_win_pct,last10_win_pct_diff,home_last10_opponent_avg_win_pct,away_last10_opponent_avg_win_pct,last10_opponent_avg_win_pct_diff,home_last10_adjusted,away_last10_adjusted,last10_adjusted_diff,home_last10_home_win_pct,away_last10_away_win_pct,home_away_form_diff,home_rest_days,away_rest_days,rest_diff,home_last10_pts_scored,away_last10_pts_scored,home_last10_pts_allowed,away_last10_pts_allowed,home_off_vs_away_def,away_off_vs_home_def,offensive_defensive_matchup_diff,off_def_matchup_diff,home_last10_efg,away_last10_efg,effective_fg_pct_diff,efg_diff,home_net_rating,away_net_rating,net_rating_diff,home_turnover_rate,away_turnover_rate,turnover_rate_diff
0012500035,2025-10-07,2025-26,1610612739,Cleveland Cavaliers,117,L,44,94,15,41,9,23,14,24,32,27,15,-1.0,1610612741,Chicago Bulls,118,W,42,81,13,40,15,36,21,29,51,31,26,1.0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,7,7,0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0
0012500036,2025-10-07,2025-26,1610612750,Minnesota Timberwolves,134,L,43,90,17,36,11,30,31,41,41,26,20,-1.0,1610612754,Indiana Pacers,135,W,45,94,20,46,17,33,25,31,50,32,24,1.0,0,1.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.0,3,7,-4,126.0,100.0,116.0,100.0,26.0,-16.0,42.0,42.0,0.5965909090909091,0.5,0.09659090909090906,0.09659090909090906,7.615002821711258,0.0,7.615002821711258,11.288998357963875,13.0,-1.7110016420361251
0012500003,2025-10-08,2025-26,1610612748,Miami Heat,107,L,37,81,10,29,8,28,23,30,36,24,19,-5.0,1610612759,San Antonio Spurs,112,W,40,86,13,36,16,33,19,27,49,24,21,5.0,0,0.0,0.5,-0.5,0.5,0.5,0.0,0.0,0.5,-0.5,0.0,0.5,-0.5,2,7,-5,105.5,100.0,114.5,100.0,5.5,-14.5,20.0,20.0,0.4823529411764706,0.5,-0.017647058823529405,-0.017647058823529405,-8.238344364316909,0.0,-8.238344364316909,18.779214879604876,13.0,5.779214879604876
0012500015,2025-10-08,2025-26,1610612744,Golden State Warriors,129,W,42,89,19,45,9,35,26,34,44,31,19,6.0,1610612757,Portland Trail Blazers,123,L,43,103,16,48,23,37,21,33,60,26,18,-6.0,1,1.0,0.5,0.5,0.0,0.5,-0.5,0.5,0.5,0.0,1.0,0.5,0.5,3,7,-4,111.0,100.0,103.0,100.0,11.0,-3.0,14.0,14.0,0.5654761904761905,0.5,0.06547619047619047,0.06547619047619047,6.417133937762401,0.0,6.417133937762401,17.43510267338241,13.0,4.43510267338241
0012500016,2025-10-08,2025-26,1610612758,Sacramento Kings,122,L,42,84,10,33,9,34,28,37,43,25,18,-8.0,1610612761,Toronto Raptors,130,W,44,91,20,37,11,31,22,27,42,32,16,8.0,0,0.5,0.0,0.5,0.5,0.0,0.5,0.5,-0.5,1.0,0.5,0.5,0.0,7,2,5,100.0,108.0,100.0,112.0,-12.0,8.0,-20.0,-20.0,0.5,0.4639175257731959,0.03608247422680411,0.03608247422680411,0.0,-3.287031207256632,3.287031207256632,13.0,10.488176964149504,2.5118230358504956
0012500037,2025-10-08,2025-26,1610612745,Houston Rockets,140,W,52,97,13,34,19,28,23,30,47,32,13,13.0,1610612762,Utah Jazz,127,L,50,89,20,45,9,26,7,12,35,36,20,-13.0,1,1.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,1.0,0.5,0.5,2,7,-5,122.0,100.0,113.0,100.0,22.0,-13.0,35.0,35.0,0.5679012345679012,0.5,0.0679012345679012,0.0679012345679012,11.263800704275255,0.0,11.263800704275255,18.3752417794971,13.0,5.375241779497099
0012500038,2025-10-08,2025-26,1610612763,Memphis Grizzlies,103,L,32,83,7,38,13,40,32,42,53,21,22,-18.0,1610612738,Boston Celtics,121,W,41,94,15,53,16,33,24,34,49,26,13,18.0,0,0.0,0.5,-0.5,0.5,0.5,0.0,0.0,0.5,-0.5,0.0,0.5,-0.5,2,7,-5,112.0,100.0,128.0,100.0,12.0,-28.0,40.0,40.0,0.5227272727272727,0.5,0.022727272727272707,0.022727272727272707,-11.790176040292465,0.0,-11.790176040292465,17.0196671709531,13.0,4.019667170953099
0012500039,2025-10-09,2025-26,1610612752,New York Knicks,100,W,35,102,15,57,18,37,15,20,55,22,11,5.0,1610612750,Minnesota Timberwolves,95,L,32,85,15,38,14,41,16,19,55,20,23,-5.0,1,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,1.0,-0.5,7,2,5,100.0,130.0,100.0,125.5,-25.5,30.0,-55.5,-55.5,0.5,0.5844065656565656,-0.08440656565656557,-0.08440656565656557,0.0,2.1729155170784935,-2.1729155170784935,13.0,14.18858667043785,-1.18858667043785
0012500040,2025-10-09,2025-26,1610612741,Chicago Bulls,119,W,43,98,14,42,12,43,19,32,55,32,19,7.0,1610612739,Cleveland Cavaliers,112,L,37,90,16,41,11,38,22,32,49,26,17,-7.0,1,1.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.5,0.5,0.0,2,2,0,118.0,117.0,117.0,118.0,0.0,0.0,0.0,0.0,0.5987654320987654,0.5478723404255319,0.050893091673233526,0.050893091673233526,6.8135201458339765,-6.8135201458339765,13.627040291667953,24.818633066055746,13.567293777134587,11.251339288921159
0012500041,2025-10-09,2025-26,1610612749,Milwaukee Bucks,117,W,34,68,18,36,3,28,31,40,31,22,15,6.0,1610612765,Detroit Pistons,111,L,39,86,10,33,13,29,23,33,42,23,14,-6.0,1,1.0,1.0,0.0,0.0,0.5,-0.5,0.5,1.0,-0.5,0.5,1.0,-0.5,3,3,0,103.0,128.0,93.0,112.0,-9.0,35.0,-44.0,-44.0,0.4885057471264368,0.6111111111111112,-0.12260536398467436,-0.12260536398467436,8.963092845835973,11.790176040292465,-2.827083194456492,13.582035494386092,20.228025009194557,-6.6459895148084644
